,지역본부,재산 소재지,노선명, 면적(공부) ,유형분류,현재 사용현황,향후 사용계획 및 추진사항,plan_category
1561,수도권본부,강원도 춘천시 신동면 증리 739ㅡ2,경춘선,774.0,활용,운행선 인근부지,미사용,계획없음
1562,수도권본부,강원도 춘천시 신동면 증리 740ㅡ1,경춘선,3.0,활용,미사용,미사용,계획없음
1563,수도권본부,강원도 춘천시 신동면 증리 741ㅡ2,경춘선,99.0,활용,미사용,미사용,계획없음
1564,수도권본부,강원도 춘천시 신동면 증리 741ㅡ4,경춘선,50.0,활용,미사용,미사용,계획없음
1565,수도권본부,강원도 춘천시 신동면 증리 749ㅡ2,경춘선,593.0,활용,미사용,미사용,계획없음
1566,수도권본부,강원도 춘천시 신동면 증리 752ㅡ1,경춘선,140.0,활용,미사용,미사용,계획없음
1568,수도권본부,강원도 춘천시 신동면 증리 855ㅡ3,경춘선,118.0,활용,운행선 인근부지,미사용,계획없음
1569,수도권본부,강원도 춘천시 신동면 증리 855ㅡ6,경춘선,21.0,활용,운행선 인근부지,미사용,계획없음
1572,수도권본부,강원도 춘천시 신동면 증리 856ㅡ7,경춘선,317.0,활용,운행선 인근부지,미사용,계획없음
1581,수도권본부,강원도 춘천시 신동면 증리 859ㅡ3,경춘선,442.0,활용,운행선 인근부지,미사용,계획없음
1584,수도권본부,강원도 춘천시 신동면 증리 860ㅡ6,경춘선,106.0,활용,미사용,미사용,계획없음
1588,수도권본부,강원도 춘천시 신동면 증리 942ㅡ4,경춘선,321.0,활용,운행선 인근부지,미사용,계획없음
1595,수도권본부,강원도 춘천시 신동면 증리 산 33ㅡ2,경춘선,3174.0,활용,운행선 인근부지,미사용,계획없음
1596,수도권본부,강원도 춘천시 신동면 증리 산 7ㅡ2,경춘선,992.0,활용,미사용,미사용,계획없음
1737,수도권본부,강원도 춘천시 퇴계동 381ㅡ35,경춘선,49.0,활용,운행선 인근부지,미사용,계획없음
1740,수도권본부,강원도 춘천시 퇴계동 419ㅡ3,경춘선,3528.0,활용,운행선 인근부지,미사용,계획없음
1741,수도권본부,강원도 춘천시 퇴계동 471ㅡ2,경춘선,2053.0,활용,운행선 인근부지,미사용,계획없음
