id,proprietary_institution,address,line,area,유형분류,현재 사용현황,향후 사용계획 및 추진사항,plan_category,capacity,land_category,realty_price,sys_connection,insolation,generation_quantity,economic_feasibility,result,pca_x,pca_y
1557,수도권본부,강원도 춘천시 신동면 증리 726-3,경춘선,36,활용,운행선 인근부지,미사용,계획없음,2.0, ,24500.0,가능,3.6,42933.0,7833.0,0,-1.647296322633684,0.3956829137152128
1558,수도권본부,강원도 춘천시 신동면 증리 733-2,경춘선,119,활용,운행선 인근부지,미사용,계획없음,9.0, ,23500.0,가능,3.6,193196.0,35250.0,0,-1.2839457879718783,0.3711506667531457
1559,수도권본부,강원도 춘천시 신동면 증리 737-2,경춘선,1260,활용,운행선 인근부지,미사용,계획없음,96.0, ,57700.0,가능,3.6,2060685.0,397811.0,0,3.3852929669352125,0.8274950421497457
1561,수도권본부,강원도 춘천시 신동면 증리 739-2,경춘선,774,활용,운행선 인근부지,미사용,계획없음,59.0, ,69900.0,가능,3.6,1266459.0,244487.0,0,1.3847054034281063,1.0736295004346612
1563,수도권본부,강원도 춘천시 신동면 증리 741-2,경춘선,99,활용,미사용,미사용,계획없음,7.0, ,69900.0,가능,3.6,150260.0,27416.0,0,-1.4132751920158515,1.1367532644593918
1564,수도권본부,강원도 춘천시 신동면 증리 741-4,경춘선,50,활용,미사용,미사용,계획없음,3.0, ,23500.0,가능,3.6,64397.0,11749.0,0,-1.5926927449476715,0.37792769008855365
1565,수도권본부,강원도 춘천시 신동면 증리 749-2,경춘선,593,활용,미사용,미사용,계획없음,45.0, ,69900.0,가능,3.6,965950.0,186474.0,0,0.6335751478128082,1.0906018015033776
1566,수도권본부,강원도 춘천시 신동면 증리 752-1,경춘선,140,활용,미사용,미사용,계획없음,10.0, ,69900.0,가능,3.6,214653.0,39165.0,0,-1.2523696154849446,1.1329229123095153
1568,수도권본부,강원도 춘천시 신동면 증리 855-3,경춘선,118,활용,운행선 인근부지,미사용,계획없음,9.0, ,2040.0,가능,3.6,193196.0,35250.0,0,-1.2713408697092152,0.01807789875246128
1569,수도권본부,강원도 춘천시 신동면 증리 855-6,경춘선,21,활용,운행선 인근부지,미사용,계획없음,1.0, ,2040.0,가능,3.6,21462.0,3915.0,0,-1.6880376099343077,0.02745362189485372
1572,수도권본부,강원도 춘천시 신동면 증리 856-7,경춘선,317,활용,운행선 인근부지,미사용,계획없음,24.0, ,38500.0,가능,3.6,515174.0,93998.0,0,-0.49595794657326,0.5993113741905539
