area,capacity,realty_price,insolation,generation_quantity,economic_feasibility,result
198,15.0,1830.0,3.7,331578.0,60499.0,1
893,68.0,2900.0,3.7,1503163.0,290182.0,2
99,7.0,1780.0,3.7,154729.0,28231.0,1
992,76.0,1780.0,3.7,1680011.0,324322.0,2
99,7.0,1780.0,3.7,154729.0,28231.0,1
992,76.0,1780.0,3.7,1680011.0,324322.0,2
198,15.0,1780.0,3.7,331578.0,60499.0,1
1785,137.0,1330.0,3.7,3028436.0,571718.0,2
33,2.0,1330.0,3.7,44210.0,8066.0,1
1190,91.0,1330.0,3.7,2011589.0,388333.0,2
198,15.0,1330.0,3.7,331578.0,60499.0,1
397,30.0,1330.0,3.7,663160.0,128021.0,1
1067,82.0,11200.0,3.66,1791605.0,345865.0,2
1332,102.0,2390.0,3.68,2237153.0,431184.0,2
737,56.0,2390.0,3.68,1228242.0,237109.0,2
43,3.0,30600.0,3.29,58882.0,10743.0,0
60,4.0,9730.0,3.29,78516.0,14325.0,0
182,14.0,23200.0,3.29,274815.0,50142.0,0
704,54.0,16400.0,3.29,1059990.0,204628.0,2
89,6.0,23200.0,3.29,117770.0,21488.0,0
50,3.0,16400.0,3.29,58882.0,10743.0,0
218,16.0,22900.0,3.29,314074.0,57305.0,0
407,31.0,22000.0,3.29,608509.0,117471.0,0
1884,144.0,18200.0,3.29,2826638.0,532087.0,2
99,7.0,5770.0,3.29,137407.0,25071.0,0
73,5.0,9730.0,3.29,98142.0,17906.0,0
2083,160.0,17800.0,3.29,3140700.0,587797.0,2
198,15.0,23200.0,3.29,294438.0,53722.0,0
496,38.0,5770.0,3.29,745917.0,143997.0,0
496,38.0,22000.0,3.29,745917.0,143997.0,0
1091,83.0,5770.0,3.29,1629238.0,314521.0,2
496,38.0,22000.0,3.29,745917.0,143997.0,0
321,24.0,18600.0,3.26,467409.0,85283.0,0
500,38.0,18500.0,3.26,740071.0,142869.0,0
1257,96.0,18600.0,3.26,1869640.0,360930.0,2
995,76.0,19700.0,3.26,1480127.0,285735.0,2
347,26.0,7090.0,3.26,506362.0,92390.0,0
126,9.0,7090.0,3.26,175273.0,31980.0,0
628,48.0,7090.0,3.26,934814.0,180463.0,0
20,1.0,7090.0,3.26,19475.0,3553.0,0
26,2.0,7090.0,3.26,38967.0,7109.0,0
747,57.0,7090.0,3.26,1110094.0,214301.0,2
99,7.0,7090.0,3.26,136326.0,24873.0,0
40,3.0,19700.0,3.26,58417.0,10658.0,0
267,20.0,19700.0,3.26,389509.0,71069.0,0
361,27.0,19700.0,3.26,525834.0,95943.0,0
450,34.0,4950.0,3.26,662162.0,127829.0,0
592,45.0,7090.0,3.26,876389.0,169185.0,0
364,28.0,7090.0,3.26,545317.0,99498.0,0
364,28.0,16300.0,3.26,545317.0,99498.0,0
1494,114.0,19100.0,3.26,2220190.0,424299.0,2
248,19.0,16600.0,3.26,370032.0,67515.0,0
635,48.0,17300.0,3.26,934814.0,180463.0,0
922,70.0,18300.0,3.26,1363270.0,263176.0,2
387,29.0,16400.0,3.26,564787.0,103050.0,0
694,53.0,7090.0,3.26,1032191.0,199262.0,2
992,76.0,4950.0,3.26,1480127.0,285735.0,2
298,22.0,19700.0,3.26,428460.0,78176.0,0
2182,167.0,18500.0,3.26,3252387.0,607439.0,2
793,61.0,18500.0,3.26,1187995.0,229340.0,2
298,22.0,18500.0,3.26,428460.0,78176.0,0
69,5.0,17000.0,3.26,97379.0,17767.0,0
1091,83.0,18500.0,3.26,1616449.0,312052.0,2
1686,129.0,18500.0,3.26,2512325.0,476233.0,2
1022,78.0,6930.0,3.15,1465629.0,282936.0,2
1448,111.0,10300.0,3.15,2085685.0,399402.0,2
96,7.0,5440.0,3.15,131530.0,23998.0,0
764,58.0,5440.0,3.15,1089821.0,210387.0,2
89,6.0,5440.0,3.15,112735.0,20569.0,0
1008,77.0,5440.0,3.15,1446833.0,279308.0,2
13,1.0,5440.0,3.15,18794.0,3429.0,0
139,10.0,5440.0,3.15,187902.0,34284.0,0
56,4.0,5440.0,3.15,75158.0,13713.0,0
707,54.0,1810.0,3.15,1014661.0,195878.0,0
56,4.0,1810.0,3.15,75158.0,13713.0,0
43,3.0,2670.0,3.15,56371.0,10285.0,0
1094,84.0,1810.0,3.15,1578366.0,304700.0,2
93,7.0,1810.0,3.15,131530.0,23998.0,0
112,8.0,2670.0,3.15,150314.0,27426.0,0
53,4.0,2670.0,3.15,75158.0,13713.0,0
73,5.0,1810.0,3.15,93946.0,17141.0,0
635,48.0,2540.0,3.15,901922.0,174114.0,0
382,29.0,3790.0,3.15,544913.0,99424.0,0
522,40.0,10300.0,3.15,751600.0,145094.0,0
183,14.0,7840.0,3.15,263064.0,47998.0,0
76,5.0,5440.0,3.15,93946.0,17141.0,0
393,30.0,3040.0,3.15,563701.0,108821.0,0
298,22.0,990.0,3.15,413382.0,75425.0,0
50,3.0,990.0,3.15,56371.0,10285.0,0
73,5.0,17100.0,3.15,93946.0,17141.0,0
72,5.0,17100.0,3.15,93946.0,17141.0,0
153,11.0,17100.0,3.15,206684.0,37711.0,0
40,3.0,17100.0,3.15,56371.0,10285.0,0
56,4.0,2670.0,3.15,75158.0,13713.0,0
13,1.0,2670.0,3.15,18794.0,3429.0,0
33,2.0,2970.0,3.15,37571.0,6855.0,0
33,2.0,2670.0,3.15,37571.0,6855.0,0
33,2.0,2670.0,3.15,37571.0,6855.0,0
56,4.0,2670.0,3.15,75158.0,13713.0,0
43,3.0,2670.0,3.15,56371.0,10285.0,0
1874,144.0,6150.0,3.15,2705772.0,509335.0,2
450,34.0,6120.0,3.15,638863.0,123331.0,0
202,15.0,8530.0,3.15,281850.0,51426.0,0
356,27.0,7790.0,3.15,507328.0,92566.0,0
365,28.0,6100.0,3.15,526117.0,95994.0,0
121,9.0,3730.0,3.15,169113.0,30856.0,0
169,13.0,6280.0,3.15,244265.0,44568.0,0
433,33.0,17100.0,3.15,620067.0,119702.0,0
175,13.0,17100.0,3.15,244265.0,44568.0,0
543,41.0,17100.0,3.15,770389.0,148722.0,0
46,3.0,6100.0,3.15,56371.0,10285.0,0
405,31.0,22900.0,3.15,582489.0,112448.0,0
300,23.0,22900.0,3.15,432175.0,78854.0,0
93,7.0,6100.0,3.15,131530.0,23998.0,0
1190,91.0,6100.0,3.15,1709887.0,330090.0,2
258,19.0,445.0,3.15,357013.0,65140.0,0
281,21.0,2290.0,3.15,394587.0,71996.0,0
635,48.0,2240.0,3.15,901922.0,174114.0,0
331,25.0,1550.0,3.15,469746.0,85709.0,0
165,12.0,1050.0,3.15,225482.0,41141.0,0
585,45.0,901.0,3.15,845549.0,163231.0,0
873,67.0,7610.0,3.15,1258934.0,243034.0,2
685,52.0,6100.0,3.15,977086.0,188624.0,0
893,68.0,6100.0,3.15,1277721.0,246661.0,2
33,2.0,6100.0,3.15,37571.0,6855.0,0
112,8.0,5110.0,3.15,150314.0,27426.0,0
1385,106.0,4780.0,3.15,1991745.0,382649.0,2
605,46.0,5110.0,3.15,864344.0,166859.0,0
354,27.0,6170.0,3.15,507328.0,92566.0,0
36,2.0,6170.0,3.15,37571.0,6855.0,0
30,2.0,2670.0,3.15,37571.0,6855.0,0
