id,proprietary_institution,address,line,area,유형분류,현재 사용현황,향후 사용계획 및 추진사항,plan_category,capacity,land_category,realty_price,sys_connection,insolation,generation_quantity,economic_feasibility
1741,수도권본부,강원도 춘천시 퇴계동 471-2,경춘선,2053,활용,운행선 인근부지,미사용,계획없음,157.0, ,90900.0,가능,3.63,3396207.0,636407.0
1743,수도권본부,강원도 춘천시 퇴계동 615-2,경춘선,1737,활용,운행선 인근부지,미사용,계획없음,133.0, ,115500.0,가능,3.63,2877038.0,544252.0
1752,수도권본부,경기도 가평군 가평읍 대곡리 123-5,경춘선,30,활용,미사용,미사용,계획없음,2.0, ,33000.0,가능,3.56,42509.0,7756.0
1760,수도권본부,경기도 가평군 가평읍 대곡리 144-1,경춘선,1004,활용,미사용,미사용,계획없음,77.0, ,522000.0,가능,3.56,1636542.0,315931.0
1761,수도권본부,경기도 가평군 가평읍 대곡리 144-2,경춘선,23,활용,미사용,미사용,계획없음,1.0, ,33000.0,가능,3.56,21255.0,3878.0
1770,수도권본부,경기도 가평군 가평읍 대곡리 155-13,경춘선,23,활용,미사용,미사용,계획없음,1.0, ,33000.0,가능,3.56,21255.0,3878.0
1772,수도권본부,경기도 가평군 가평읍 대곡리 157-3,경춘선,780,활용,미사용,미사용,계획없음,60.0, ,111600.0,가능,3.56,1275219.0,246178.0
1773,수도권본부,경기도 가평군 가평읍 대곡리 157-4,경춘선,353,활용,미사용,미사용,계획없음,27.0, ,33000.0,가능,3.56,573857.0,104705.0
1782,수도권본부,경기도 가평군 가평읍 대곡리 163-3,경춘선,1186,활용,미사용,미사용,계획없음,91.0, ,824900.0,가능,3.56,1934100.0,373374.0
1796,수도권본부,경기도 가평군 가평읍 대곡리 250-1,경춘선,122,활용,미사용,미사용,계획없음,9.0, ,1322000.0,가능,3.56,191287.0,34902.0
1800,수도권본부,경기도 가평군 가평읍 대곡리 409-1,경춘선,40,활용,미사용,미사용,계획없음,3.0, ,33000.0,가능,3.56,63757.0,11633.0
1805,수도권본부,경기도 가평군 가평읍 대곡리 420-1,경춘선,1504,활용,미사용,미사용,계획없음,115.0, ,33000.0,가능,3.56,2444170.0,466725.0
1815,수도권본부,경기도 가평군 가평읍 대곡리 677-3,경춘선,265,활용,미사용,미사용,계획없음,20.0, ,33000.0,가능,3.56,425075.0,77558.0
