id,proprietary_institution,address,line,area,유형분류,현재 사용현황,향후 사용계획 및 추진사항,capacity,land_category,realty_price,sys_connection,insolation,generation_quantity,economic_feasibility,result
19116,강원본부,충청북도 단양군 매포읍 상시리 103-2,중앙선,112,기타,미사용,계획 없음,8.0,철도용지,5110.0,가능,37.79,150314.0,27426.0,0
19117,강원본부,충청북도 단양군 매포읍 상시리 106-2,중앙선,1385,기타,미사용,계획 없음,106.0,철도용지,4780.0,가능,37.79,1991745.0,362399.0,0
19118,강원본부,충청북도 단양군 매포읍 상시리 109-2,중앙선,605,기타,미사용,계획 없음,46.0,철도용지,5110.0,가능,37.79,864344.0,157707.0,0
19119,강원본부,충청북도 단양군 매포읍 상시리 115-2,중앙선,354,기타,미사용,계획 없음,27.0,철도용지,6170.0,가능,37.79,507328.0,92566.0,0
19120,강원본부,충청북도 단양군 매포읍 상시리 116-2,중앙선,36,기타,미사용,계획 없음,2.0,철도용지,6170.0,가능,37.79,37571.0,6855.0,0
19121,강원본부,충청북도 단양군 매포읍 상시리 142-1,중앙선,30,기타,미사용,계획 없음,2.0,철도용지,2670.0,가능,37.79,37571.0,6855.0,0
19122,강원본부,충청북도 단양군 매포읍 상시리 145-1,중앙선,13,기타,미사용,계획 없음,1.0,철도용지,5110.0,가능,37.79,18794.0,3429.0,0
19123,강원본부,충청북도 단양군 매포읍 상시리 145-5,중앙선,747,기타,미사용,계획 없음,57.0,답,5110.0,가능,37.79,1071030.0,195419.0,0
19124,강원본부,충청북도 단양군 매포읍 상시리 146-1,중앙선,152,기타,미사용,계획 없음,11.0,철도용지,5110.0,가능,37.79,206684.0,37711.0,0
19125,강원본부,충청북도 단양군 매포읍 상시리 147-1,중앙선,46,기타,미사용,계획 없음,3.0,철도용지,5110.0,가능,37.79,56371.0,10285.0,0
19126,강원본부,충청북도 단양군 매포읍 상시리 147-2,중앙선,56,기타,미사용,계획 없음,4.0,철도용지,6170.0,가능,37.79,75158.0,13713.0,0
19127,강원본부,충청북도 단양군 매포읍 상시리 148-1,중앙선,169,기타,미사용,계획 없음,13.0,철도용지,6260.0,가능,37.79,244265.0,44568.0,0
19128,강원본부,충청북도 단양군 매포읍 상시리 148-2,중앙선,23,기타,미사용,계획 없음,1.0,철도용지,6330.0,가능,37.79,18794.0,3429.0,0
19129,강원본부,충청북도 단양군 매포읍 상시리 148-4,중앙선,60,기타,미사용,계획 없음,4.0,철도용지,6170.0,가능,37.79,75158.0,13713.0,0
19131,강원본부,충청북도 단양군 매포읍 상시리 149-1,중앙선,3778,기타,미사용,계획 없음,290.0,철도용지,5090.0,가능,37.79,5449104.0,963748.0,1
19133,강원본부,충청북도 단양군 매포읍 상시리 179-3,중앙선,93,기타,미사용,계획 없음,7.0,철도용지,5110.0,가능,37.79,131530.0,23998.0,0
19134,강원본부,충청북도 단양군 매포읍 상시리 179-4,중앙선,50,기타,미사용,계획 없음,3.0,철도용지,5110.0,가능,37.79,56371.0,10285.0,0
19135,강원본부,충청북도 단양군 매포읍 상시리 179-5,중앙선,215,기타,미사용,계획 없음,16.0,철도용지,7450.0,가능,37.79,300646.0,54855.0,0
19136,강원본부,충청북도 단양군 매포읍 상시리 179-6,중앙선,165,기타,미사용,계획 없음,12.0,철도용지,5110.0,가능,37.79,225482.0,41141.0,0
19137,강원본부,충청북도 단양군 매포읍 상시리 179-7,중앙선,99,기타,미사용,계획 없음,7.0,철도용지,5110.0,가능,37.79,131530.0,23998.0,0
19138,강원본부,충청북도 단양군 매포읍 상시리 179-8,중앙선,17,기타,미사용,계획 없음,1.0,철도용지,5110.0,가능,37.79,18794.0,3429.0,0
19139,강원본부,충청북도 단양군 매포읍 상시리 253-5,중앙선,539,기타,미사용,계획 없음,41.0,철도용지,5110.0,가능,37.79,770389.0,140564.0,0
19140,강원본부,충청북도 단양군 매포읍 상시리 253-7,중앙선,36,기타,미사용,계획 없음,2.0,철도용지,5110.0,가능,37.79,37571.0,6855.0,0
19141,강원본부,충청북도 단양군 매포읍 상시리 260-2,중앙선,2493,기타,미사용,계획 없음,191.0,철도용지,5110.0,가능,37.79,3588900.0,640222.0,1
19142,강원본부,충청북도 단양군 매포읍 상시리 264-6,중앙선,1266,기타,미사용,계획 없음,97.0,철도용지,12600.0,가능,37.79,1822634.0,332556.0,0
19144,강원본부,충청북도 단양군 매포읍 상시리 269-1,중앙선,1341,기타,미사용,계획 없음,103.0,철도용지,5110.0,가능,37.79,1935379.0,352635.0,0
19146,강원본부,충청북도 단양군 매포읍 상시리 372-1,중앙선,289,기타,미사용,계획 없음,22.0,철도용지,6170.0,가능,37.79,413382.0,75425.0,0
19147,강원본부,충청북도 단양군 매포읍 상시리 375-1,중앙선,91,기타,미사용,계획 없음,7.0,철도용지,6170.0,가능,37.79,131530.0,23998.0,0
19148,강원본부,충청북도 단양군 매포읍 상시리 379-1,중앙선,283,기타,미사용,계획 없음,21.0,철도용지,2670.0,가능,37.79,394587.0,71996.0,0
19149,강원본부,충청북도 단양군 매포읍 상시리 385-5,중앙선,73,기타,미사용,계획 없음,5.0,철도용지,5110.0,가능,37.79,93946.0,17141.0,0
19151,강원본부,충청북도 단양군 매포읍 상시리 397-3,중앙선,137,기타,미사용,계획 없음,10.0,철도용지,5110.0,가능,37.79,187902.0,34284.0,0
19152,강원본부,충청북도 단양군 매포읍 상시리 398-5,중앙선,71,기타,미사용,계획 없음,5.0,철도용지,10600.0,가능,37.79,93946.0,17141.0,0
19154,강원본부,충청북도 단양군 매포읍 상시리 산 33-2,중앙선,496,기타,미사용,계획 없음,38.0,임야,5110.0,가능,37.79,714020.0,130279.0,0
19155,강원본부,충청북도 단양군 매포읍 상시리 산 33-3,중앙선,397,기타,미사용,계획 없음,30.0,철도용지,5110.0,가능,37.79,563701.0,102852.0,0
19157,강원본부,충청북도 단양군 매포읍 상시리 산 41-4,중앙선,99,기타,미사용,계획 없음,7.0,철도용지,5110.0,가능,37.79,131530.0,23998.0,0
19158,강원본부,충청북도 단양군 매포읍 상시리 산 42-1,중앙선,1190,기타,미사용,계획 없음,91.0,철도용지,5110.0,가능,37.79,1709887.0,311984.0,0
19159,강원본부,충청북도 단양군 매포읍 상시리 산 7-2,중앙선,893,기타,미사용,계획 없음,68.0,철도용지,5110.0,가능,37.79,1277721.0,233131.0,0
19160,강원본부,충청북도 단양군 매포읍 상시리 산 9-2,중앙선,5287,기타,미사용,계획 없음,407.0,철도용지,5110.0,가능,37.79,7647546.0,1346412.0,1
19161,강원본부,충청북도 단양군 매포읍 안동리 122-2,중앙선,4473,기타,미사용,계획 없음,344.0,철도용지,2670.0,가능,37.79,6463770.0,1140465.0,1
19162,강원본부,충청북도 단양군 매포읍 안동리 167-1,중앙선,2238,기타,미사용,계획 없음,172.0,철도용지,6100.0,가능,37.79,3231879.0,578177.0,1
