,지역본부,재산 소재지,노선명, 면적(공부) ,유형분류,현재 사용현황,향후 사용계획 및 추진사항
19133,강원본부,충청북도 단양군 매포읍 상시리 179ㅡ3,중앙선,93.0,기타,미사용,계획 없음
19134,강원본부,충청북도 단양군 매포읍 상시리 179ㅡ4,중앙선,50.0,기타,미사용,계획 없음
19135,강원본부,충청북도 단양군 매포읍 상시리 179ㅡ5,중앙선,215.0,기타,미사용,계획 없음
19136,강원본부,충청북도 단양군 매포읍 상시리 179ㅡ6,중앙선,165.0,기타,미사용,계획 없음
19137,강원본부,충청북도 단양군 매포읍 상시리 179ㅡ7,중앙선,99.0,기타,미사용,계획 없음
19138,강원본부,충청북도 단양군 매포읍 상시리 179ㅡ8,중앙선,17.0,기타,미사용,계획 없음
19139,강원본부,충청북도 단양군 매포읍 상시리 253ㅡ5,중앙선,539.0,기타,미사용,계획 없음
19140,강원본부,충청북도 단양군 매포읍 상시리 253ㅡ7,중앙선,36.0,기타,미사용,계획 없음
19141,강원본부,충청북도 단양군 매포읍 상시리 260ㅡ2,중앙선,2493.0,기타,미사용,계획 없음
19142,강원본부,충청북도 단양군 매포읍 상시리 264ㅡ6,중앙선,1266.0,기타,미사용,계획 없음
19143,강원본부,충청북도 단양군 매포읍 상시리 267ㅡ2,중앙선,7.0,기타,미사용,계획 없음
19144,강원본부,충청북도 단양군 매포읍 상시리 269ㅡ1,중앙선,1341.0,기타,미사용,계획 없음
19146,강원본부,충청북도 단양군 매포읍 상시리 372ㅡ1,중앙선,289.0,기타,미사용,계획 없음
19147,강원본부,충청북도 단양군 매포읍 상시리 375ㅡ1,중앙선,91.0,기타,미사용,계획 없음
19148,강원본부,충청북도 단양군 매포읍 상시리 379ㅡ1,중앙선,283.0,기타,미사용,계획 없음
19149,강원본부,충청북도 단양군 매포읍 상시리 385ㅡ5,중앙선,73.0,기타,미사용,계획 없음
19151,강원본부,충청북도 단양군 매포읍 상시리 397ㅡ3,중앙선,137.0,기타,미사용,계획 없음
19152,강원본부,충청북도 단양군 매포읍 상시리 398ㅡ5,중앙선,71.0,기타,미사용,계획 없음
19154,강원본부,충청북도 단양군 매포읍 상시리 산 33ㅡ2,중앙선,496.0,기타,미사용,계획 없음
19155,강원본부,충청북도 단양군 매포읍 상시리 산 33ㅡ3,중앙선,397.0,기타,미사용,계획 없음
19157,강원본부,충청북도 단양군 매포읍 상시리 산 41ㅡ4,중앙선,99.0,기타,미사용,계획 없음
19158,강원본부,충청북도 단양군 매포읍 상시리 산 42ㅡ1,중앙선,1190.0,기타,미사용,계획 없음
19159,강원본부,충청북도 단양군 매포읍 상시리 산 7ㅡ2,중앙선,893.0,기타,미사용,계획 없음
19160,강원본부,충청북도 단양군 매포읍 상시리 산 9ㅡ2,중앙선,5287.0,기타,미사용,계획 없음
19161,강원본부,충청북도 단양군 매포읍 안동리 122ㅡ2,중앙선,4473.0,기타,미사용,계획 없음
19162,강원본부,충청북도 단양군 매포읍 안동리 167ㅡ1,중앙선,2238.0,기타,미사용,계획 없음
19163,강원본부,충청북도 단양군 매포읍 안동리 176ㅡ2,중앙선,863.0,기타,미사용,계획 없음
19164,강원본부,충청북도 단양군 매포읍 안동리 225ㅡ2,중앙선,3411.0,기타,미사용,계획 없음
19165,강원본부,충청북도 단양군 매포읍 안동리 230ㅡ2,중앙선,2493.0,기타,미사용,계획 없음
19166,강원본부,충청북도 단양군 매포읍 안동리 272,중앙선,5654.0,기타,미사용,계획 없음
19167,강원본부,충청북도 단양군 매포읍 안동리 285ㅡ1,중앙선,5478.0,기타,미사용,계획 없음
19168,강원본부,충청북도 단양군 매포읍 안동리 296ㅡ2,중앙선,840.0,기타,미사용,계획 없음
19169,강원본부,충청북도 단양군 매포읍 안동리 297ㅡ2,중앙선,251.0,기타,미사용,계획 없음
19170,강원본부,충청북도 단양군 매포읍 안동리 342ㅡ1,중앙선,57.0,기타,미사용,계획 없음
19171,강원본부,충청북도 단양군 매포읍 안동리 343ㅡ5,중앙선,295.0,기타,미사용,계획 없음
19172,강원본부,충청북도 단양군 매포읍 안동리 산 13ㅡ3,중앙선,99.0,기타,미사용,계획 없음
19173,강원본부,충청북도 단양군 매포읍 안동리 산 13ㅡ4,중앙선,46.0,기타,미사용,계획 없음
19174,강원본부,충청북도 단양군 매포읍 안동리 산 13ㅡ5,중앙선,496.0,기타,미사용,계획 없음
19175,강원본부,충청북도 단양군 매포읍 안동리 산 15ㅡ1,중앙선,3769.0,기타,미사용,계획 없음
19176,강원본부,충청북도 단양군 매포읍 안동리 산 17ㅡ1,중앙선,99.0,기타,미사용,계획 없음
19177,강원본부,충청북도 단양군 매포읍 안동리 산 27ㅡ2,중앙선,1785.0,기타,미사용,계획 없음
19178,강원본부,충청북도 단양군 매포읍 안동리 산 28ㅡ2,중앙선,198.0,기타,미사용,계획 없음
19179,강원본부,충청북도 단양군 매포읍 영천리 313ㅡ2,중앙선,129.0,기타,미사용,계획 없음
